participant_id,age,gender,specialization,experiment_started_at,started_at,submitted_at,displayed_at_client_ms,submitted_at_client_ms,task_order_position,task_id,question_id,task_family,gestalt_principle,visualization_type,question_type,question_text,options_shown,correct_answer,selected_answer,is_correct,reaction_time_sec,chart_count,ease_rating,confidence,parent_task_id,panel_id,panel_label,panel_order,panel_selected_answer,panel_is_correct,panel_reaction_time_sec,panel_submitted_at,panel_displayed_at_client_ms,session_id
1,18,Male,informational system,2026-03-15 14:20:49.533,2026-03-15 14:21:19.226,2026-03-15 14:21:20.249,1773566479226,1773566480249,15,CLO_02,Q_CLO_02,NA,Closure,Treemap,I. Group perception based on closure,How many logical groups do you see in the treemap?,2 | 3 | 4 | 5,3,4,FALSE,1.022,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5299ba62ac65082a315892bac3175c58_20260315142049.533
1,18,Male,informational system,2026-03-15 14:20:49.533,2026-03-15 14:21:21.243,2026-03-15 14:21:23.073,1773566481244,1773566483074,16,SIM_05,Q_SIM_05,NA,Similarity,Treemap,E. Ranking,Which ranking correctly orders the color groups by combined area from largest to smallest?,Blue > Green > Orange | Green > Blue > Orange | Blue > Orange > Green | Orange > Green > Blue,Blue > Green > Orange,Green > Blue > Orange,FALSE,1.829,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5299ba62ac65082a315892bac3175c58_20260315142049.533
1,18,Male,informational system,2026-03-15 14:20:49.533,2026-03-15 14:21:23.447,2026-03-15 14:21:25.45,1773566483448,1773566485450,17,SIM_03,Q_SIM_03,NA,Similarity,Bar chart,A. Finding the maximum value,Which category has the largest value among the blue bars?,A | B | C | E,C,C,TRUE,2.002,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5299ba62ac65082a315892bac3175c58_20260315142049.533
1,18,Male,informational system,2026-03-15 14:20:49.533,2026-03-15 14:21:25.737,2026-03-15 14:21:27.049,1773566485738,1773566487050,18,CONT_04,Q_CONT_04,NA,Continuity,Heatmap,J. Subjective organization and trend perception,Which path is easiest to trace as one continuous band?,Main diagonal | Outer border | Middle column | Random patches,Main diagonal,Middle column,FALSE,1.312,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5299ba62ac65082a315892bac3175c58_20260315142049.533
1,18,Male,informational system,2026-03-15 14:20:49.533,2026-03-15 14:21:27.447,2026-03-15 14:21:28.984,1773566487447,1773566488985,19,SYM_03,Q_SYM_03,NA,Symmetry,Bar chart,H. Detecting similar values,Which outer pair of categories has equal heights because of symmetry?,A and E | A and B | B and C | C and E,A and E,A and B,FALSE,1.538,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5299ba62ac65082a315892bac3175c58_20260315142049.533
1,18,Male,informational system,2026-03-15 14:20:49.533,2026-03-15 14:21:29.453,2026-03-15 14:21:30.457,1773566489454,1773566490458,20,CONT_02,Q_CONT_02,NA,Continuity,Scatterplot,J. Subjective organization and trend perception,Which labeled group follows one continuous path?,Group A | Group B | Group C | None of the groups,Group B,Group C,FALSE,1.004,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5299ba62ac65082a315892bac3175c58_20260315142049.533
1,18,Male,informational system,2026-03-15 14:20:49.533,2026-03-15 14:21:31.568,2026-03-15 14:21:32.865,1773566491568,1773566492866,21,CLO_01,Q_CLO_01,NA,Closure,Scatterplot + Bar chart + Treemap,I. Group perception based on closure,Which visualization makes the grouped structure easiest to perceive as a closed whole?,Scatterplot | Bar chart | Treemap,Treemap,Scatterplot,FALSE,1.298,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5299ba62ac65082a315892bac3175c58_20260315142049.533
1,18,Male,informational system,2026-03-15 14:20:49.533,2026-03-15 14:21:33.295,2026-03-15 14:21:44.529,1773566493295,1773566504530,22,CONT_03,Q_CONT_03,NA,Continuity,Line chart,F. Detecting anomaly or outlier,Is there a point that substantially breaks the otherwise continuous pattern?,"No | Yes, in Series A | Yes, in Series B | Yes, in both series","Yes, in Series B","Yes, in Series B",TRUE,11.235,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5299ba62ac65082a315892bac3175c58_20260315142049.533
1,18,Male,informational system,2026-03-15 14:20:49.533,2026-03-15 14:21:44.937,2026-03-15 14:21:46.385,1773566504938,1773566506386,23,CLO_03,Q_CLO_03,NA,Closure,Scatterplot,J. Subjective organization and structure perception,Which labeled set of points is perceived as the most complete whole?,Group A | Group B | Group C | None of them,Group B,Group B,TRUE,1.448,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5299ba62ac65082a315892bac3175c58_20260315142049.533
1,18,Male,informational system,2026-03-15 14:20:49.533,2026-03-15 14:21:46.858,2026-03-15 14:21:48.072,1773566506859,1773566508073,24,SIM_04,Q_SIM_04,NA,Similarity,Heatmap,H. Detecting similar values,Which two rows have the most similar pattern of values?,R1 and R2 | R2 and R3 | R3 and R5 | R4 and R5,R2 and R3,R2 and R3,TRUE,1.215,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5299ba62ac65082a315892bac3175c58_20260315142049.533
1,18,Male,informational system,2026-03-15 14:20:49.533,2026-03-15 14:21:48.464,2026-03-15 14:21:50.392,1773566508465,1773566510393,25,PROX_01,Q_PROX_01,NA,Proximity,Scatterplot,I. Group perception based on proximity,How many groups do you see?,3 | 4 | 5 | 6,4,5,FALSE,1.929,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5299ba62ac65082a315892bac3175c58_20260315142049.533
2,18,Male,фывф,2026-03-15 14:58:21.477,2026-03-15 14:58:21.78,2026-03-15 14:58:28.119,1773568701781,1773568708120,1,SYM_01,Q_SYM_01,NA,Symmetry,Scatterplot,J. Subjective organization and trend perception,Which pattern looks more stable and symmetric?,Pattern A | Pattern B | Both patterns | Neither pattern,Pattern A,Neither pattern,FALSE,6.34,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,e519dd6f97dd45a2dc10f0389069b6e2_20260315145821.477
2,18,Male,фывф,2026-03-15 14:58:21.477,2026-03-15 14:58:28.457,2026-03-15 14:58:31.815,1773568708457,1773568711815,2,CLO_05,Q_CLO_05,NA,Closure,Bubble chart,I. Group perception based on closure,How many complete structures do you perceive despite the gaps?,1 | 2 | 3 | None,2,None,FALSE,3.358,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,e519dd6f97dd45a2dc10f0389069b6e2_20260315145821.477
2,18,Male,фывф,2026-03-15 14:58:21.477,2026-03-15 14:58:32.203,2026-03-15 14:58:35.119,1773568712203,1773568715120,3,SYM_05,Q_SYM_05,NA,Symmetry,Line chart,C. Comparing two categories,Which side reaches a higher maximum value?,Left side | Right side | Same on both sides | Neither side reaches a peak,Same on both sides,Right side,FALSE,2.917,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,e519dd6f97dd45a2dc10f0389069b6e2_20260315145821.477
2,18,Male,фывф,2026-03-15 14:58:21.477,2026-03-15 14:58:35.512,2026-03-15 14:58:36.871,1773568715512,1773568716871,4,CONT_01,Q_CONT_01,NA,Continuity,Line chart,J. Subjective organization and trend perception,Which sequence is perceived as one continuous trend?,Blue sequence | Orange sequence | Both sequences | Neither sequence,Blue sequence,Neither sequence,FALSE,1.359,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,e519dd6f97dd45a2dc10f0389069b6e2_20260315145821.477
2,18,Male,фывф,2026-03-15 14:58:21.477,2026-03-15 14:58:37.226,2026-03-15 15:01:52.608,1773568717227,1773568912608,5,CLO_03,Q_CLO_03,NA,Closure,Scatterplot,J. Subjective organization and structure perception,Which labeled set of points is perceived as the most complete whole?,Group A | Group B | Group C | None of them,Group B,Group B,TRUE,195.381,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,e519dd6f97dd45a2dc10f0389069b6e2_20260315145821.477
2,18,Male,фывф,2026-03-15 14:58:21.477,2026-03-15 15:01:52.98,2026-03-15 15:02:13.279,1773568912980,1773568933280,6,SYM_03,Q_SYM_03,NA,Symmetry,Bar chart,H. Detecting similar values,Which outer pair of categories has equal heights because of symmetry?,A and E | A and B | B and C | C and E,A and E,A and E,TRUE,20.3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,e519dd6f97dd45a2dc10f0389069b6e2_20260315145821.477
2,18,Male,фывф,2026-03-15 14:58:21.477,2026-03-15 15:02:13.792,2026-03-15 15:02:48.598,1773568933792,1773568968599,7,CLO_04,Q_CLO_04,NA,Closure,Bar chart,I. Group perception based on closure,Which pair of categories is easiest to perceive as one unit?,A and B | B and C | C and D | D and E,A and B,D and E,FALSE,34.808,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,e519dd6f97dd45a2dc10f0389069b6e2_20260315145821.477
2,18,Male,фывф,2026-03-15 14:58:21.477,2026-03-15 15:02:49.02,2026-03-15 15:03:04.104,1773568969021,1773568984104,8,SYM_04,Q_SYM_04,NA,Symmetry,Bubble chart,D. Estimating the difference,Approximately how much larger is the center bubble than the bubbles at x = -1 and x = 1?,4 | 6 | 8 | 10,8,8,TRUE,15.083,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,e519dd6f97dd45a2dc10f0389069b6e2_20260315145821.477
2,18,Male,фывф,2026-03-15 14:58:21.477,2026-03-15 15:03:04.559,2026-03-15 15:03:12.207,1773568984560,1773568992208,9,SIM_03,Q_SIM_03,NA,Similarity,Bar chart,A. Finding the maximum value,Which category has the largest value among the blue bars?,A | B | C | E,C,C,TRUE,7.648,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,e519dd6f97dd45a2dc10f0389069b6e2_20260315145821.477
2,18,Male,фывф,2026-03-15 14:58:21.477,2026-03-15 15:03:12.584,2026-03-15 15:03:19.296,1773568992584,1773568999296,10,PROX_01,Q_PROX_01,NA,Proximity,Scatterplot,I. Group perception based on proximity,How many groups do you see?,3 | 4 | 5 | 6,4,4,TRUE,6.711,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,e519dd6f97dd45a2dc10f0389069b6e2_20260315145821.477
2,18,Male,фывф,2026-03-15 14:58:21.477,2026-03-15 15:03:19.744,2026-03-15 15:03:40.936,1773568999745,1773569020936,11,CONT_04,Q_CONT_04,NA,Continuity,Heatmap,J. Subjective organization and trend perception,Which path is easiest to trace as one continuous band?,Main diagonal | Outer border | Middle column | Random patches,Main diagonal,Outer border,FALSE,21.19,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,e519dd6f97dd45a2dc10f0389069b6e2_20260315145821.477
2,18,Male,фывф,2026-03-15 14:58:21.477,2026-03-15 15:03:41.367,2026-03-15 15:03:46.111,1773569021367,1773569026112,12,CLO_02,Q_CLO_02,NA,Closure,Treemap,I. Group perception based on closure,How many logical groups do you see in the treemap?,2 | 3 | 4 | 5,3,3,TRUE,4.745,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,e519dd6f97dd45a2dc10f0389069b6e2_20260315145821.477
2,18,Male,фывф,2026-03-15 14:58:21.477,2026-03-15 15:03:46.461,2026-03-15 15:03:50.279,1773569026462,1773569030280,13,SIM_02,Q_SIM_02,NA,Similarity,Bubble chart,I. Group perception based on similarity,How many groups do you perceive based on similarity?,2 | 3 | 4 | 5,3,3,TRUE,3.818,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,e519dd6f97dd45a2dc10f0389069b6e2_20260315145821.477
2,18,Male,фывф,2026-03-15 14:58:21.477,2026-03-15 15:03:51.352,2026-03-15 15:03:59.936,1773569031353,1773569039936,14,CLO_01,Q_CLO_01,NA,Closure,Scatterplot + Bar chart + Treemap,I. Group perception based on closure,Which visualization makes the grouped structure easiest to perceive as a closed whole?,Scatterplot | Bar chart | Treemap,Treemap,Scatterplot,FALSE,8.583,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,e519dd6f97dd45a2dc10f0389069b6e2_20260315145821.477
2,18,Male,фывф,2026-03-15 14:58:21.477,2026-03-15 15:04:00.371,2026-03-15 15:04:11.375,1773569040371,1773569051376,15,CONT_05,Q_CONT_05,NA,Continuity,Line chart,E. Ranking,Which ranking correctly orders the last three points of the continuous trend from highest to lowest?,6 > 5 > 4 | 4 > 5 > 6 | 5 > 6 > 4 | 6 > 4 > 5,6 > 5 > 4,6 > 5 > 4,TRUE,11.005,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,e519dd6f97dd45a2dc10f0389069b6e2_20260315145821.477
2,18,Male,фывф,2026-03-15 14:58:21.477,2026-03-15 15:04:11.848,2026-03-15 15:04:16.598,1773569051849,1773569056599,16,SIM_01,Q_SIM_01,NA,Similarity,Scatterplot,J. Subjective organization and trend perception,What is the dominant cue for grouping these points?,Color | Position | Size | No clear cue,Color,Color,TRUE,4.749,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,e519dd6f97dd45a2dc10f0389069b6e2_20260315145821.477
2,18,Male,фывф,2026-03-15 14:58:21.477,2026-03-15 15:04:16.927,2026-03-15 15:04:18.256,1773569056928,1773569058256,17,PROX_05,Q_PROX_05,NA,Proximity,Bubble chart,B. Finding the minimum value,Which labeled bubble is the smallest within the left-hand cluster?,A | B | C | D,C,B,FALSE,1.327,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,e519dd6f97dd45a2dc10f0389069b6e2_20260315145821.477
2,18,Male,фывф,2026-03-15 14:58:21.477,2026-03-15 15:04:18.631,2026-03-15 15:04:20.391,1773569058631,1773569060391,18,PROX_03,Q_PROX_03,NA,Proximity,Heatmap,G. Determining a range,In which range do most values in the central cluster fall?,10-20 | 20-30 | 30-40 | 40-50,40-50,30-40,FALSE,1.76,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,e519dd6f97dd45a2dc10f0389069b6e2_20260315145821.477
2,18,Male,фывф,2026-03-15 14:58:21.477,2026-03-15 15:04:20.782,2026-03-15 15:04:22.119,1773569060782,1773569062120,19,PROX_04,Q_PROX_04,NA,Proximity,Bar chart,I. Group perception based on proximity,Which categories appear to belong together because of spacing?,A and B | B and C | C and D | D and E,C and D,B and C,FALSE,1.337,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,e519dd6f97dd45a2dc10f0389069b6e2_20260315145821.477
2,18,Male,фывф,2026-03-15 14:58:21.477,2026-03-15 15:04:22.522,2026-03-15 15:04:23.904,1773569062522,1773569063904,20,PROX_02,Q_PROX_02,NA,Proximity,Bubble chart,F. Detecting anomaly or outlier,Which cluster is most clearly separated from the others?,Upper-right cluster | Center cluster | Lower-left cluster | Lower-right cluster,Upper-right cluster,Lower-right cluster,FALSE,1.382,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,e519dd6f97dd45a2dc10f0389069b6e2_20260315145821.477
2,18,Male,фывф,2026-03-15 14:58:21.477,2026-03-15 15:04:24.309,2026-03-15 15:04:25.904,1773569064310,1773569065904,21,CONT_03,Q_CONT_03,NA,Continuity,Line chart,F. Detecting anomaly or outlier,Is there a point that substantially breaks the otherwise continuous pattern?,"No | Yes, in Series A | Yes, in Series B | Yes, in both series","Yes, in Series B","Yes, in Series A",FALSE,1.594,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,e519dd6f97dd45a2dc10f0389069b6e2_20260315145821.477
2,18,Male,фывф,2026-03-15 14:58:21.477,2026-03-15 15:04:26.279,2026-03-15 15:04:28.247,1773569066279,1773569068248,22,CONT_02,Q_CONT_02,NA,Continuity,Scatterplot,J. Subjective organization and trend perception,Which labeled group follows one continuous path?,Group A | Group B | Group C | None of the groups,Group B,None of the groups,FALSE,1.968,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,e519dd6f97dd45a2dc10f0389069b6e2_20260315145821.477
2,18,Male,фывф,2026-03-15 14:58:21.477,2026-03-15 15:04:28.601,2026-03-15 15:04:30.375,1773569068601,1773569070375,23,SIM_04,Q_SIM_04,NA,Similarity,Heatmap,H. Detecting similar values,Which two rows have the most similar pattern of values?,R1 and R2 | R2 and R3 | R3 and R5 | R4 and R5,R2 and R3,R2 and R3,TRUE,1.774,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,e519dd6f97dd45a2dc10f0389069b6e2_20260315145821.477
2,18,Male,фывф,2026-03-15 14:58:21.477,2026-03-15 15:04:30.9,2026-03-15 15:04:33.137,1773569070900,1773569073137,24,SIM_05,Q_SIM_05,NA,Similarity,Treemap,E. Ranking,Which ranking correctly orders the color groups by combined area from largest to smallest?,Blue > Green > Orange | Green > Blue > Orange | Blue > Orange > Green | Orange > Green > Blue,Blue > Green > Orange,Blue > Orange > Green,FALSE,2.236,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,e519dd6f97dd45a2dc10f0389069b6e2_20260315145821.477
2,18,Male,фывф,2026-03-15 14:58:21.477,2026-03-15 15:04:33.437,2026-03-15 15:04:38.622,1773569073437,1773569078623,25,SYM_02,Q_SYM_02,NA,Symmetry,Heatmap,J. Subjective organization and trend perception,Is the color matrix symmetric around the main diagonal?,Yes | No | Only around the center | Cannot tell,Yes,Cannot tell,FALSE,5.187,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,e519dd6f97dd45a2dc10f0389069b6e2_20260315145821.477
002,16,Ер,NA,2026-03-16 06:21:20.191,2026-03-16 06:21:20.69,2026-03-16 06:21:25.934,1773624080691,1773624085934,1,SYM_02,Q_SYM_02,NA,Symmetry,Heatmap,J. Subjective organization and trend perception,Түс матрицасы негізгі диагональ бойынша симметриялы ма?,Иә | Жоқ | Тек ортасына қатысты | Анықтау қиын,Иә,Иә,TRUE,5.243,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,ba59f672843469c0a1b68e5485509f64_20260316062120.191
002,16,Ер,NA,2026-03-16 06:21:20.191,2026-03-16 06:21:28.667,2026-03-16 06:21:29.91,1773624088668,1773624089910,2,SYM_01,Q_SYM_01,NA,Symmetry,Scatterplot,J. Subjective organization and trend perception,Қай үлгі тұрақтырақ және симметриялырақ көрінеді?,A үлгісі | B үлгісі | Екі үлгі де | Екеуі де емес,A үлгісі,Екеуі де емес,FALSE,1.241,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,ba59f672843469c0a1b68e5485509f64_20260316062120.191
002,16,Ер,NA,2026-03-16 06:21:20.191,2026-03-16 06:21:31.171,2026-03-16 06:21:33.348,1773624091172,1773624093349,3,PROX_03,Q_PROX_03,NA,Proximity,Heatmap,G. Determining a range,Орталық кластердегі мәндердің көбі қай аралыққа жатады?,10-20 | 20-30 | 30-40 | 40-50,40-50,40-50,TRUE,2.177,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,ba59f672843469c0a1b68e5485509f64_20260316062120.191
002,16,Ер,NA,2026-03-16 06:21:20.191,2026-03-16 06:21:34.141,2026-03-16 06:21:36.237,1773624094142,1773624096238,4,CONT_02,Q_CONT_02,NA,Continuity,Scatterplot,J. Subjective organization and trend perception,Белгіленген қай топ бір үздіксіз жолмен жүреді?,A тобы | B тобы | C тобы | Топтардың ешқайсысы,B тобы,C тобы,FALSE,2.096,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,ba59f672843469c0a1b68e5485509f64_20260316062120.191
002,16,Ер,NA,2026-03-16 06:21:20.191,2026-03-16 06:21:37.094,2026-03-16 06:21:40.453,1773624097094,1773624100453,5,CONT_05,Q_CONT_05,NA,Continuity,Line chart,E. Ranking,Қай реттілік үздіксіз үрдістің соңғы үш нүктесін үлкеннен кішіге дұрыс орналастырады?,6 > 5 > 4 | 4 > 5 > 6 | 5 > 6 > 4 | 6 > 4 > 5,6 > 5 > 4,6 > 4 > 5,FALSE,3.359,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,ba59f672843469c0a1b68e5485509f64_20260316062120.191
002,16,Ер,NA,2026-03-16 06:21:20.191,2026-03-16 06:21:41.512,2026-03-16 06:21:43.821,1773624101512,1773624103821,6,SIM_05,Q_SIM_05,NA,Similarity,Treemap,E. Ranking,Қай реттілік түстік топтарды жиынтық ауданы бойынша үлкеннен кішіге дұрыс орналастырады?,Көк > Жасыл > Қызғылт сары | Жасыл > Көк > Қызғылт сары | Көк > Қызғылт сары > Жасыл | Қызғылт сары > Жасыл > Көк,Көк > Жасыл > Қызғылт сары,Жасыл > Көк > Қызғылт сары,FALSE,2.309,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,ba59f672843469c0a1b68e5485509f64_20260316062120.191
